Simulation Total Time;22973052
Total Number of Sensed Events by the WSN;259878
Number of Sensed Events by the WSN per Day
1;40558
2;40551
3;40620
4;40662
5;40540
6;20212
7;11913
8;11858
9;11295
10;1669
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node44;0;14637;21065;84637;21357;21065;1;6720;452967,457883
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node45;0;14276;20959;83911;20997;20959;0;6721;447636,478391
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node46;0;14527;21223;84864;21248;21223;1;6721;461873,488326
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node47;0;14619;21339;85526;21339;21339;1;6720;464268,330911
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node48;0;14890;21611;84725;21611;21611;1;6721;475079,973962
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node49;0;13490;20212;62025;20212;20212;1;6722;816771,784528
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node50;0;15065;21791;62051;21792;21791;0;6727;819509,100095
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node51;0;11600;18324;67505;18325;18324;0;6725;462467,986158
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node52;0;11550;18274;72810;18274;18274;1;6724;457143,315965
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node53;0;11296;18020;72446;18020;18020;1;6724;455452,389328
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node54;0;11460;18185;72235;18185;18185;0;6725;452341,193708
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node55;0;11669;17744;72347;18392;17744;1;6723;494603,857928
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node56;0;11318;17986;72636;18042;17986;0;6724;509353,375376
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node57;0;11399;18123;72721;18123;18123;1;6724;464210,902366
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node58;0;11689;18414;71978;18414;18414;1;6725;475683,114046
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node59;0;10359;17086;52480;17086;17086;0;6727;800761,078515
